,No,PR No,PR Url,PR Status,PR Contributors,Active PR Time,Active time(in Seconds)
499,284,499,https://github.com//HarshCasper/Rotten-Scripts/pull/353,Merged,"['AkM-2018', 'HarshCasper']",10 days 15:02:36.000000000,918156.0
500,285,500,https://github.com//HarshCasper/Rotten-Scripts/pull/352,Merged,"['sharur7', 'HarshCasper']",17 days 10:33:34.000000000,1506814.0
502,286,502,https://github.com//HarshCasper/Rotten-Scripts/pull/350,Merged,"['SANKET7738', 'seema1711']",0 days 18:07:15.000000000,65235.0
503,287,503,https://github.com//HarshCasper/Rotten-Scripts/pull/349,Merged,"['amandp13', 'HarshCasper']",19 days 13:07:38.000000000,1688858.0
504,288,504,https://github.com//HarshCasper/Rotten-Scripts/pull/348,Merged,"['vvHacker007', 'HarshCasper']",2 days 16:46:24.000000000,233184.0
505,289,505,https://github.com//HarshCasper/Rotten-Scripts/pull/347,Merged,"['gupta-piyush19', 'HarshCasper']",19 days 15:58:47.000000000,1699127.0
507,290,507,https://github.com//HarshCasper/Rotten-Scripts/pull/344,Merged,['HarshCasper'],7 days 22:24:57.000000000,685497.0
508,291,508,https://github.com//HarshCasper/Rotten-Scripts/pull/343,Merged,"['basketcase03', 'HarshCasper']",0 days 11:55:27.000000000,42927.0
510,292,510,https://github.com//HarshCasper/Rotten-Scripts/pull/341,Merged,"['kaustubhgupta', 'seema1711', 'HarshCasper']",0 days 14:52:31.000000000,53551.0
511,293,511,https://github.com//HarshCasper/Rotten-Scripts/pull/340,Merged,"['afrozchakure', 'HarshCasper']",0 days 16:18:07.000000000,58687.0
512,294,512,https://github.com//HarshCasper/Rotten-Scripts/pull/337,Merged,"['sameersrivastava13', 'HarshCasper', 'seema1711']",1 days 20:16:02.000000000,159362.0
514,295,514,https://github.com//HarshCasper/Rotten-Scripts/pull/331,Merged,"['AdityaJ7', 'HarshCasper']",16 days 01:21:12.000000000,1387272.0
515,296,515,https://github.com//HarshCasper/Rotten-Scripts/pull/329,Merged,"['kaustubhgupta', 'srimani-programmer']",2 days 17:13:38.000000000,234818.0
516,297,516,https://github.com//HarshCasper/Rotten-Scripts/pull/326,Merged,"['sameersrivastava13', 'srimani-programmer']",4 days 21:48:36.000000000,424116.0
517,298,517,https://github.com//HarshCasper/Rotten-Scripts/pull/324,Merged,"['Namyalg', 'HarshCasper', 'srimani-programmer']",8 days 08:24:54.000000000,721494.0
518,299,518,https://github.com//HarshCasper/Rotten-Scripts/pull/322,Merged,"['sharur7', 'srimani-programmer']",1 days 00:38:29.000000000,88709.0
519,300,519,https://github.com//HarshCasper/Rotten-Scripts/pull/321,Merged,"['Namyalg', 'srimani-programmer', 'HarshCasper']",9 days 09:57:45.000000000,813465.0
520,301,520,https://github.com//HarshCasper/Rotten-Scripts/pull/320,Merged,[],8 days 04:40:06.000000000,708006.0
521,302,521,https://github.com//HarshCasper/Rotten-Scripts/pull/317,Merged,[],10 days 16:44:40.000000000,924280.0
522,303,522,https://github.com//HarshCasper/Rotten-Scripts/pull/316,Merged,[],3 days 09:07:27.000000000,292047.0
524,304,524,https://github.com//HarshCasper/Rotten-Scripts/pull/314,Merged,[],0 days 19:34:20.000000000,70460.0
525,305,525,https://github.com//HarshCasper/Rotten-Scripts/pull/313,Merged,[],0 days 11:13:53.000000000,40433.0
528,306,528,https://github.com//HarshCasper/Rotten-Scripts/pull/310,Merged,[],23 days 16:37:59.000000000,2047079.0
530,307,530,https://github.com//HarshCasper/Rotten-Scripts/pull/308,Merged,[],0 days 16:37:29.000000000,59849.0
534,308,534,https://github.com//HarshCasper/Rotten-Scripts/pull/304,Merged,[],1 days 11:24:59.000000000,127499.0
535,309,535,https://github.com//HarshCasper/Rotten-Scripts/pull/303,Merged,[],8 days 00:05:19.000000000,691519.0
536,310,536,https://github.com//HarshCasper/Rotten-Scripts/pull/297,Merged,[],0 days 01:18:57.000000000,4737.0
537,311,537,https://github.com//HarshCasper/Rotten-Scripts/pull/293,Merged,[],0 days 07:47:23.000000000,28043.0
539,312,539,https://github.com//HarshCasper/Rotten-Scripts/pull/287,Merged,[],0 days 02:58:48.000000000,10728.0
540,313,540,https://github.com//HarshCasper/Rotten-Scripts/pull/280,Merged,[],12 days 04:39:21.000000000,1053561.0
541,314,541,https://github.com//HarshCasper/Rotten-Scripts/pull/277,Merged,[],3 days 04:39:42.000000000,275982.0
542,315,542,https://github.com//HarshCasper/Rotten-Scripts/pull/273,Merged,"['tejan-singh', 'HarshCasper']",0 days 13:20:14.000000000,48014.0
543,316,543,https://github.com//HarshCasper/Rotten-Scripts/pull/272,Merged,"['AkM-2018', 'HarshCasper']",0 days 13:17:22.000000000,47842.0
544,317,544,https://github.com//HarshCasper/Rotten-Scripts/pull/271,Merged,"['kaustubhgupta', 'HarshCasper']",4 days 19:11:20.000000000,414680.0
545,318,545,https://github.com//HarshCasper/Rotten-Scripts/pull/270,Merged,"['AdityaAshvin', 'HarshCasper']",0 days 18:49:25.000000000,67765.0
546,319,546,https://github.com//HarshCasper/Rotten-Scripts/pull/269,Merged,"['AdityaJ7', 'HarshCasper']",0 days 20:52:15.000000000,75135.0
548,320,548,https://github.com//HarshCasper/Rotten-Scripts/pull/267,Merged,"['avinashkranjan', 'HarshCasper']",14 days 05:35:49.000000000,1229749.0
549,321,549,https://github.com//HarshCasper/Rotten-Scripts/pull/266,Merged,"['AdityaJ7', 'HarshCasper']",1 days 02:46:22.000000000,96382.0
550,322,550,https://github.com//HarshCasper/Rotten-Scripts/pull/264,Merged,"['AdityaJ7', 'HarshCasper']",0 days 05:24:46.000000000,19486.0
554,323,554,https://github.com//HarshCasper/Rotten-Scripts/pull/255,Merged,"['HeroicHitesh', 'HarshCasper']",1 days 04:30:02.000000000,102602.0
558,324,558,https://github.com//HarshCasper/Rotten-Scripts/pull/249,Merged,['HarshCasper'],27 days 21:38:57.000000000,2410737.0
559,325,559,https://github.com//HarshCasper/Rotten-Scripts/pull/248,Merged,"['Namyalg', 'HarshCasper']",1 days 09:17:38.000000000,119858.0
560,326,560,https://github.com//HarshCasper/Rotten-Scripts/pull/247,Merged,"['Prahitha', 'HarshCasper']",1 days 11:45:41.000000000,128741.0
561,327,561,https://github.com//HarshCasper/Rotten-Scripts/pull/245,Merged,"['Prahitha', 'HarshCasper']",1 days 11:51:45.000000000,129105.0
563,328,563,https://github.com//HarshCasper/Rotten-Scripts/pull/242,Merged,"['Prahitha', 'HarshCasper']",1 days 12:35:19.000000000,131719.0
564,329,564,https://github.com//HarshCasper/Rotten-Scripts/pull/239,Merged,"['avinashkranjan', 'HarshCasper']",1 days 22:04:07.000000000,165847.0
565,330,565,https://github.com//HarshCasper/Rotten-Scripts/pull/238,Merged,"['amandp13', 'HarshCasper']",2 days 11:17:22.000000000,213442.0
567,331,567,https://github.com//HarshCasper/Rotten-Scripts/pull/236,Merged,"['kaustubhgupta', 'HarshCasper']",2 days 23:21:43.000000000,256903.0
568,332,568,https://github.com//HarshCasper/Rotten-Scripts/pull/234,Merged,"['Puneet-Pal-Singh', 'HarshCasper']",2 days 13:58:09.000000000,223089.0
569,333,569,https://github.com//HarshCasper/Rotten-Scripts/pull/232,Merged,"['AkM-2018', 'HarshCasper']",0 days 17:40:41.000000000,63641.0
570,334,570,https://github.com//HarshCasper/Rotten-Scripts/pull/229,Merged,['HarshCasper'],0 days 00:00:19.000000000,19.0
571,335,571,https://github.com//HarshCasper/Rotten-Scripts/pull/226,Merged,['HarshCasper'],31 days 16:11:58.000000000,2736718.0
572,336,572,https://github.com//HarshCasper/Rotten-Scripts/pull/225,Merged,['HarshCasper'],31 days 16:13:12.000000000,2736792.0
573,337,573,https://github.com//HarshCasper/Rotten-Scripts/pull/224,Merged,['HarshCasper'],0 days 00:00:28.000000000,28.0
574,338,574,https://github.com//HarshCasper/Rotten-Scripts/pull/223,Merged,['HarshCasper'],31 days 16:15:40.000000000,2736940.0
575,339,575,https://github.com//HarshCasper/Rotten-Scripts/pull/222,Merged,"['AkM-2018', 'HarshCasper']",4 days 13:03:23.000000000,392603.0
576,340,576,https://github.com//HarshCasper/Rotten-Scripts/pull/221,Merged,"['aastha985', 'HarshCasper']",4 days 18:42:47.000000000,412967.0
578,341,578,https://github.com//HarshCasper/Rotten-Scripts/pull/219,Merged,"['kaustubhgupta', 'HarshCasper']",1 days 02:19:13.000000000,94753.0
580,342,580,https://github.com//HarshCasper/Rotten-Scripts/pull/217,Merged,"['bagofcodes', 'HarshCasper']",5 days 23:26:32.000000000,516392.0
581,343,581,https://github.com//HarshCasper/Rotten-Scripts/pull/216,Merged,"['sameersrivastava13', 'HarshCasper']",5 days 00:56:36.000000000,435396.0
582,344,582,https://github.com//HarshCasper/Rotten-Scripts/pull/215,Merged,"['mbcse', 'HarshCasper']",0 days 12:29:10.000000000,44950.0
583,345,583,https://github.com//HarshCasper/Rotten-Scripts/pull/210,Merged,"['Namyalg', 'HarshCasper']",108 days 16:59:34.000000000,9392374.0
584,346,584,https://github.com//HarshCasper/Rotten-Scripts/pull/209,Merged,"['AdityaJ7', 'HarshCasper']",2 days 23:49:37.000000000,258577.0
585,347,585,https://github.com//HarshCasper/Rotten-Scripts/pull/208,Merged,"['avishmehta68710', 'HarshCasper']",3 days 16:56:54.000000000,320214.0
586,348,586,https://github.com//HarshCasper/Rotten-Scripts/pull/207,Merged,"['AkM-2018', 'HarshCasper']",3 days 00:44:28.000000000,261868.0
587,349,587,https://github.com//HarshCasper/Rotten-Scripts/pull/206,Merged,"['avinashkranjan', 'HarshCasper']",3 days 03:02:46.000000000,270166.0
588,350,588,https://github.com//HarshCasper/Rotten-Scripts/pull/205,Merged,"['HeroicHitesh', 'HarshCasper']",1 days 01:11:02.000000000,90662.0
589,351,589,https://github.com//HarshCasper/Rotten-Scripts/pull/200,Merged,"['HeroicHitesh', 'HarshCasper']",0 days 06:33:08.000000000,23588.0
590,352,590,https://github.com//HarshCasper/Rotten-Scripts/pull/199,Merged,"['mbcse', 'HarshCasper']",1 days 21:12:56.000000000,162776.0
592,353,592,https://github.com//HarshCasper/Rotten-Scripts/pull/195,Merged,"['Namyalg', 'HarshCasper']",7 days 22:32:14.000000000,685934.0
593,354,593,https://github.com//HarshCasper/Rotten-Scripts/pull/192,Merged,"['srimani-programmer', 'HarshCasper']",2 days 11:12:44.000000000,213164.0
594,355,594,https://github.com//HarshCasper/Rotten-Scripts/pull/190,Merged,"['srimani-programmer', 'HarshCasper']",2 days 11:53:52.000000000,215632.0
595,356,595,https://github.com//HarshCasper/Rotten-Scripts/pull/189,Merged,"['srimani-programmer', 'HarshCasper']",2 days 14:07:36.000000000,223656.0
596,357,596,https://github.com//HarshCasper/Rotten-Scripts/pull/187,Merged,"['srimani-programmer', 'HarshCasper']",2 days 14:33:44.000000000,225224.0
599,358,599,https://github.com//HarshCasper/Rotten-Scripts/pull/182,Merged,"['Prahitha', 'HarshCasper']",0 days 08:52:36.000000000,31956.0
600,359,600,https://github.com//HarshCasper/Rotten-Scripts/pull/181,Merged,['HarshCasper'],0 days 00:02:15.000000000,135.0
601,360,601,https://github.com//HarshCasper/Rotten-Scripts/pull/180,Merged,"['seema1711', 'HarshCasper']",0 days 11:20:02.000000000,40802.0
602,361,602,https://github.com//HarshCasper/Rotten-Scripts/pull/179,Merged,"['Gaushikmr', 'HarshCasper']",1 days 08:47:59.000000000,118079.0
605,362,605,https://github.com//HarshCasper/Rotten-Scripts/pull/175,Merged,"['mohitacecode', 'HarshCasper']",3 days 07:03:28.000000000,284608.0
606,363,606,https://github.com//HarshCasper/Rotten-Scripts/pull/173,Merged,"['mohitacecode', 'HarshCasper']",3 days 07:50:54.000000000,287454.0
607,364,607,https://github.com//HarshCasper/Rotten-Scripts/pull/172,Merged,"['mohitacecode', 'HarshCasper']",3 days 11:05:15.000000000,299115.0
608,365,608,https://github.com//HarshCasper/Rotten-Scripts/pull/170,Merged,"['Sanketwable', 'HarshCasper']",10 days 13:03:13.000000000,910993.0
609,366,609,https://github.com//HarshCasper/Rotten-Scripts/pull/169,Merged,"['Anushka-S10', 'HarshCasper']",6 days 23:28:37.000000000,602917.0
